Source,Topic,Intent,Count,Context_Reliance
synthetic,Software_&_Tech,Troubleshooting,150,Long_Term_Memory
synthetic,Creative_&_Media,Generation,150,Long_Term_Memory
synthetic,Lifestyle_&_Health,Emotional_Processing,150,Long_Term_Memory
synthetic,Business_&_Finance,Strategic_Planning,150,Long_Term_Memory
synthetic,Software_&_Tech,Factual_Retrieval,150,Long_Term_Memory
synthetic,General_Reference_&_Trivia,Factual_Retrieval,50,Long_Term_Memory
synthetic,World_&_Current_Events,Factual_Retrieval,80,Real_Time_Search
synthetic,Lifestyle_&_Health,Factual_Retrieval,80,Real_Time_Search
synthetic,Software_&_Tech,Factual_Retrieval,40,Real_Time_Search
synthetic,STEM_&_Academics,Factual_Retrieval,80,Real_Time_Search
synthetic,Null_Noise,Casual_Banter,200,Zero_Shot
synthetic,General_Reference_&_Trivia,Casual_Banter,50,Zero_Shot
synthetic,Lifestyle_&_Health,Casual_Banter,50,Zero_Shot
