Source,Topic,Intent,Count,Context_Reliance
synthetic,Null_Noise,Casual_Banter,300,Zero_Shot
synthetic,Meta_AI,Emotional_Processing,70,Zero_Shot
synthetic,Meta_AI,Casual_Banter,70,Zero_Shot
synthetic,Meta_AI,Strategic_Planning,40,Zero_Shot
synthetic,Creative_&_Media,Open_Exploration,100,Zero_Shot
synthetic,STEM_&_Academics,Open_Exploration,80,Zero_Shot
synthetic,General_Reference_&_Trivia,Open_Exploration,84,Zero_Shot
synthetic,Software_&_Tech,Open_Exploration,80,Zero_Shot
synthetic,General_Reference_&_Trivia,Casual_Banter,80,Zero_Shot
synthetic,Lifestyle_&_Health,Casual_Banter,50,Zero_Shot
synthetic,Creative_&_Media,Casual_Banter,41,Zero_Shot
synthetic,Social_&_Relationships,Emotional_Processing,52,Zero_Shot
synthetic,Business_&_Finance,Decision_Making,49,Zero_Shot
synthetic,Lifestyle_&_Health,Decision_Making,50,Zero_Shot
